"CUESTIONARIO","CCAA","TIPO","TIPOINT","DCP1","DCP2","DCP3","DCP4","CFZP05","CFZP06","CFZP07","CFZP08","CFZP09","CFZP10","CFZP11","CMPP12","CMPP13","CMPP14","CMPP15","CMPP16","BENCOP17","BENCOP18","BENCOP19","BENCOP20","BENCOP21","BENCOP22","BENSOP23","BENSOP24","BENSOP25","BENSOP26","BENSOP27","BENTEP28","BENTEP29","BENTEP30","BENTEP31","BENTEP32","SACRELP33","SACRELP34","SACRELP35","SACCOSP36","SACCOSP37","SACCOSP38","VALRELP39","VALRELP40","VALRELP41","VALRELP42","SATP43","SATP44","SATP45","SATP46","SATP47","SATP48","LOYP49","LOYP50","LOYP51","REQP52","REQP53","REQP54","REQP55","REQP56","REQP57","REAP58","REAP59","REAP60","REAP61","RSQP62","RSQP63","RSQP64","RSQP65","RLP66","RLP67","RLP68","RLP69","RLP70","RLP71","RLP72","RLP73","REGP74","REGP75","REGP76","REGP77","TICP78","TICP79","TICP80","TICP81","TICP82","TICP83","TICP84","TICP85","TICP86","ITTICP87","ITTICP88","ITTICP89","ITTICP90","ITTICP91","ITTICP92","ITTICP93","ITTICP94","ITTICP95","ITTICP96","ITTICP97","ITTICP98","ITTICP99","ITTICP100","ITTICP101","ITTICP102","ITTICP103","ITTICP104","ITTICP105","INRELP106","INRELP107","INRELP108","INRELP109","INRELP110","INRELP111","CAPRELP112","CAPRELP113","CAPRELP114","CAPRELP115","CAPRELP116","CAPRELP117","CAPRELP118","CAPRELP119","CAPRELP120","CAPRELP121","EMPRESA","DIRECCION","CP","TEL","MUNICIPIO","PROVINCIA","ENTREVISTADO","PROVEEDOR","VENTAS2013","INVERSTIC2013","lon","lat"
88,Comunitat Valenciana,Tienda independiente,Tienda independiente,Electrónica y Electrodomésticos,7,75,4,7,7,6,6,7,7,7,7,7,7,7,7,6,7,7,Neutral,7,5,Neutral,7,2,7,1,1,1,1,1,1,6,3,1,7,6,7,6,6,6,6,7,7,3,7,7,7,7,7,7,7,7,7,6,6,7,6,6,6,6,7,6,7,7,7,7,7,7,7,7,7,5,6,6,6,7,2,2,2,Neutral,7,6,6,7,7,7,7,7,1,1,1,Neutral,7,1,7,7,6,7,7,7,1,1,1,1,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,"PANELECTRÓNICA 2006, S. L.","LOS CENTELLES, 49",46006,"963 34 34 25","VALÈNCIA","VALÈNCIA","AMPARO GRIMA - RESPONSABLE","NO CONSTA - MANISES",1e+06,70000,-0.3746965,39.4583823
89,Comunitat Valenciana,Tienda independiente,Tienda independiente,Electrónica y Electrodomésticos,20,50,10,7,7,7,7,7,7,7,6,5,Neutral,Neutral,6,7,7,7,Neutral,7,5,7,7,1,1,1,1,1,1,1,1,7,Neutral,7,1,1,1,1,1,1,1,1,Neutral,1,1,1,7,7,7,7,7,7,7,7,1,1,6,6,6,6,6,6,6,6,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,1,7,5,3,7,6,7,3,7,1,1,1,7,1,7,7,7,1,1,7,7,1,1,1,1,1,1,1,1,1,1,7,7,7,6,1,7,7,7,7,6,"PERTEGAS, VENTILACIÓN Y CLIMA","MURTA, 26",46020,"963 69 20 62","VALÈNCIA","VALÈNCIA","PILAR PUCHOL - CONTABLE","EURO FRED - BARCELONA",1e+05,500,-0.3568738,39.4859395
90,Comunitat Valenciana,Tienda independiente,Tienda independiente,Electrónica y Electrodomésticos,20,25,99,7,7,7,6,7,7,6,6,7,7,7,7,7,7,7,Neutral,7,7,7,7,7,7,Neutral,1,1,1,1,1,7,7,1,1,5,5,7,6,6,6,5,7,7,7,7,7,7,7,7,7,7,5,1,Neutral,Neutral,5,5,5,Neutral,6,7,7,7,1,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,1,7,7,7,7,7,5,6,7,7,Neutral,1,7,7,Neutral,1,7,7,1,7,7,1,1,7,7,1,7,7,7,1,1,1,1,6,5,7,5,5,6,7,7,7,7,7,7,7,7,7,Neutral,"RADIO COLÓN, S. L.","COLÓN, 7",46002,"963 51 72 50","VALÈNCIA","VALÈNCIA","EDUARDO NAVARRO - GERENTE","GAPLASA - MADRID",1e+06,2500,-0.3742837,39.4677668
91,Comunitat Valenciana,Tienda sucursalista,Tienda integrada,Electrónica y Electrodomésticos,20,Proveedor exclusivo,0,6,6,Neutral,5,6,7,6,6,7,7,7,6,6,6,6,5,6,6,5,5,Neutral,6,5,6,6,6,5,5,6,6,6,5,5,6,7,7,7,7,5,6,6,6,6,7,7,7,7,6,6,6,6,6,6,5,5,5,Neutral,5,Neutral,Neutral,6,6,5,5,5,5,5,6,5,5,Neutral,Neutral,Neutral,6,5,5,5,5,Neutral,Neutral,Neutral,5,1,1,1,1,7,7,6,1,1,7,6,1,1,7,6,1,1,1,1,5,5,5,Neutral,Neutral,Neutral,5,5,5,6,7,2,5,5,6,5,"SOLER ELECTRODOMÉSTICOS","GENERAL URRUTIA, 1",46006,"963 74 85 59","VALÈNCIA","VALÈNCIA","ROSANA SOLER BALLESTER - ENCARGADA","COMELSA - PICANYA",8e+05,2000,-0.3657999,39.4608506
92,Comunitat Valenciana,Otros,Tienda integrada,Electrónica y Electrodomésticos,30,80,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,6,1,1,1,1,1,7,7,1,7,7,7,3,6,7,7,7,7,7,7,7,6,7,7,7,7,5,1,6,6,7,6,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,Neutral,Neutral,7,1,1,7,1,7,7,7,1,6,7,7,5,1,1,1,Neutral,Neutral,Neutral,7,7,7,7,7,7,7,7,7,7,7,7,7,"VARELEC VALENCIA","FRANCO TORMO, 13",46007,"963 77 43 00","VALÈNCIA","VALÈNCIA","DANIEL LÓPEZ - RESPONSABLE","FAGOR - MONDRAGÓN",9e+05,3500,-0.3911693,39.4584696
93,Comunitat Valenciana,Tienda sucursalista,Tienda integrada,Electrónica y Electrodomésticos,40,80,5,6,6,6,6,6,7,7,6,6,6,6,6,6,7,6,Neutral,6,7,6,6,6,6,5,5,5,3,3,Neutral,5,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,5,5,5,6,6,5,6,6,5,5,6,5,5,5,5,5,6,6,5,6,3,3,3,3,3,1,2,5,5,5,5,2,1,1,6,1,1,2,6,3,2,2,2,2,6,6,6,3,3,3,6,6,6,7,7,5,5,5,6,6,"ELÍAS FORMENT, S. L.","AV. MIGUEL HERNÁNDEZ, 8",46970,"961 50 39 29","ALAQUÀS","VALÈNCIA","ELÍAS FORMENT - GERENTE","CEVASA - ALDAIA",NA,NA,-0.4669992,39.4660934
94,Comunitat Valenciana,Tienda independiente,Tienda independiente,Electrónica y Electrodomésticos,1,70,1,7,7,5.568,7,5.92,6,7,5.266,7,5.968,5.776,1,5.784,5.929,7,4.976,7,7,5.371,7,1,7,4.402,1,1,1,1,1,7,7,7,1,1,1,Neutral,Neutral,Neutral,Neutral,7,7,7,7,7,7,7,7,7,7,7,7,1,Neutral,7,7,7,4.275,7,4.401,7,7,7,6,6,6,6,6,Neutral,7,7,6,6,6,6,1,1,1,1,1,1,1,7,7,1,1,2.307,1,7,1,1,1,7,7,1,1,1.476,7,7,1.355,1,1,7,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,Neutral,"ÀLEX INFORMÁTICA, S. L.","ST. VICENT PAUL, 29-31",46160,"962 78 28 13","LLÍRIA","VALÈNCIA","ALEJANDRO CERVERA - GERENTE","DE PAU SISTEMAS - MURCIA",90000,6000,-0.5968562,39.6274082
95,Comunitat Valenciana,Tienda independiente,Tienda independiente,Electrónica y Electrodomésticos,4,80,2,6,6,5,1,5,5,6,7,6,7,6,6,Neutral,6,Neutral,1,6,5,1,1,1,1,1,5,5,5,5,5,7,Neutral,1,7,7,7,6,6,7,7,6,7,7,7,6,7,7,7,7,1,5,6,6,6,7,1,3,2,3,6,6,6,7,3,Neutral,Neutral,Neutral,5,7,7,5,7,7,7,7,7,6,6,7,6,5,5,2,7,7,7,7,7,7,1,7,1,7,7,7,1,1,7,7,1,7,1,1,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,7,7,7,7,6,6,6,7,7,7,"PANELECTRÓNICA 2006, S. L.","LA CLOSA, 8",46113,"961 30 10 75","MONTCADA","VALÈNCIA","JUAN - DEPARTAMENTO VENTAS","NO CONSTA - MANISES",NA,NA,-0.4004489,39.5690039
96,Comunitat Valenciana,Tienda independiente,Tienda independiente,Electrónica y Electrodomésticos,20,15,60,5,5,5,5,6,7,6,5,6,6,6,5,5,5,5,Neutral,6,5,5,5,5,5,5,5,5,Neutral,3,3,6,6,6,Neutral,5,6,Neutral,Neutral,Neutral,Neutral,Neutral,5,2,6,6,6,6,6,6,3,3,3,3,3,3,3,2,2,2,2,2,2,Neutral,Neutral,Neutral,Neutral,3,3,3,3,3,3,3,3,3,3,2,Neutral,Neutral,Neutral,3,Neutral,5,Neutral,1,1,5,1,1,1,1,1,1,Neutral,2,1,1,7,5,1,1,1,1,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,7,6,Neutral,5,5,6,Neutral,"HI - QUA","AV. HISPANIDAD, 17",46520,"962 67 47 28","SAGUNT","VALÈNCIA","ÁNGELES - ADMINISTRACIÓN","ETEKO - VALÈNCIA",NA,NA,-0.2335356,39.666708
97,Comunitat Valenciana,Tienda independiente,Tienda independiente,Electrónica y Electrodomésticos,13,70,10,5,5,Neutral,Neutral,5,6,6,5,6,6,6,6,5,5,5,5,6,6,5,5,5,5,5,5,5,5,Neutral,Neutral,6,6,6,5,5,6,5,5,5,5,5,6,5,6,6,6,6,6,6,5,5,6,Neutral,5,5,6,5,3,3,Neutral,Neutral,Neutral,6,6,5,Neutral,Neutral,5,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,3,3,Neutral,Neutral,3,3,Neutral,Neutral,Neutral,1,1,5,1,1,1,5,1,6,Neutral,2,1,1,7,5,1,1,1,1,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,6,7,6,Neutral,5,5,5,Neutral,"ELECTRÓNICA ARCOMED, S.L.","OLÓZAGA, 5",3012,"965 25 90 37","ALACANT","ALACANT","JUAN - GERENTE","DIELTRON ELECTRÓNICA - MADRID",270000,1000,-0.4849853,38.3550647
98,Comunitat Valenciana,Tienda independiente,Tienda independiente,Muebles y Madera,25,80,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,6,6,6,6,7,5,3,3,5,5,5,6,7,7,7,6,7,3,3,3,3,6,6,6,7,7,7,7,7,7,6,6,6,6,7,6,6,6,6,5,5,5,5,6,6,6,Neutral,Neutral,5,5,6,Neutral,Neutral,Neutral,Neutral,Neutral,5,3,3,3,Neutral,3,3,2,6,1,1,1,1,1,1,1,1,1,5,1,1,1,7,5,1,1,1,2,3,3,3,3,3,3,6,6,6,6,6,3,5,5,6,2,"AMBOAN, S. L.","PIZARRO, 27",46004,"963 94 09 65","VALÈNCIA","VALÈNCIA","ELENA DE RIVA - ENCARGADA","AMBOAN, S. L. - ALFAFAR",60000,4000,-0.3714534,39.4665661
99,Comunitat Valenciana,Tienda independiente,Tienda independiente,Muebles y Madera,7,35,3,6,7,6,6,6,6,7,6,6,6,7,5,6,6,6,7,6,Neutral,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,7,6,6,7,7,7,7,6,6,6,6,6,6,6,7,6,6,7,6,6,6,6,6,7,6,6,6,6,6,6,6,7,7,7,6,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,Neutral,Neutral,1,1,1,5,5,1,1,7,6,1,1,1,1,1,1,1,1,1,1,7,7,6,6,7,5,6,5,6,6,"CASA 21","GUADALQUIVIR, 54",46026,"963 96 44 28","VALÈNCIA","VALÈNCIA","PILAR CASTELLÓ - DPTO. COMERCIAL","DE LA NUBBI - PAIPORTA",120000,NA,-0.3770792,39.4307843
100,Comunitat Valenciana,Tienda franquiciada,Tienda integrada,Muebles y Madera,20,20,10,6,6,6,6,5,5,5,Neutral,5,7,6,5,6,5,6,7,6,6,6,6,7,5,Neutral,6,6,6,5,7,5,6,5,6,5,6,5,5,6,6,6,5.832,5,6,6,6,5,6,7,5,5,5,6,5,6,5,Neutral,Neutral,5,5,5,6,6,6,6,5,5,5,5,5,6,6,6,6,6,Neutral,6,6,Neutral,7,7,6,6,7,5,5,5,5,Neutral,Neutral,5,Neutral,5,5,Neutral,5,1,5,1,1,5,5,2,2,3,Neutral,6,6,7,6,6,6,5,6,6,6,5,6.159,6,"CASA VIVA","MENORCA, 19",46023,"963 31 09 61","VALÈNCIA","VALÈNCIA","ISABEL RODA - JEFA COMPRAS","ARC DISTRIBUCIÓN - ZARAGOZA",1e+07,NA,-0.345862,39.4566515
101,Comunitat Valenciana,Tienda independiente,Tienda independiente,Muebles y Madera,15,25,20,5,5,5,5,6,7,6,5,5,6,5,5,Neutral,6,5,3,6,6,5,5,3,6,Neutral,Neutral,Neutral,3,3,Neutral,5,6,6,Neutral,Neutral,5,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6,5,Neutral,Neutral,5,5,5,5,6,5,5,5,5,Neutral,5,3,5,5,5,5,3,3,2,2,3,3,2,3,5,1,1,6,Neutral,6,6,5,1,1,7,6,1,2,7,2,1,6,6,2,2,2,2,2,2,2,6,6,6,6,6,5,Neutral,Neutral,6,Neutral,"COSÍN VALERO, S. L.","PIZARRO, 29",46004,"963 52 30 29","VALÈNCIA","VALÈNCIA","LIDIA -  ADMINISTRACIÓN","NO CONSTA - ITALIA",NA,NA,-0.3714059,39.4664996
102,Comunitat Valenciana,Tienda independiente,Tienda independiente,Muebles y Madera,10,40,50,7,7,5.568,7,5.92,6,6,7,5.746,7,5,5,5,5,5,Neutral,5,7,5,5,7,7,5,6,5,Neutral,Neutral,5,5,5,5,6,4.711,7,6,6,6,6,6,6,6,7,6,6,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,6,6,6,6,Neutral,3,3,5,5,Neutral,Neutral,5,5,1,1,7,7,7,7,Neutral,1,1,7,7,1,1,7,7,1,1,1,7,3,3,3,Neutral,Neutral,Neutral,Neutral,5,6,5,6,6,6,6,6,Neutral,"LA CASITA DE PENÉLOPE","LA POBLA DE FARNALS, 40",46021,"963 61 84 85","VALÈNCIA","VALÈNCIA","PENÉLOPE - GERENTE","TACATÁ - LA FONT DE LA FIGUERA",NA,NA,-0.3502504,39.4690932
103,Comunitat Valenciana,Tienda independiente,Tienda independiente,Muebles y Madera,10,33,10,6,5,Neutral,5,6,6,6,2,2,2,2,2,5,5,5,3,5,6,Neutral,Neutral,Neutral,5,Neutral,3,3,3,3,3,5,Neutral,Neutral,3,3,Neutral,Neutral,Neutral,Neutral,Neutral,3,2,2,5,6,6,6,6,5,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,Neutral,Neutral,Neutral,3,2,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,1,1,1,1,1,1,2,1,1,7,1,1,1,7,6,1,1,1,2,2,2,2,3,3,3,2,2,2,6,5,2,3,3,5,Neutral,"MOBIDECO","AV. TRES FORQUES, 69",46018,"963 77 97 33","VALÈNCIA","VALÈNCIA","AMPARO - SOCIA Y GERENTE","NO CONSTA",NA,NA,-0.3951082,39.4638495
104,Comunitat Valenciana,Tienda independiente,Tienda independiente,Muebles y Madera,7,30,25,6,6,Neutral,Neutral,6,7,6,2,5,5,5,2,5,6,6,Neutral,6,6,5,5,Neutral,5,Neutral,5,5,Neutral,3,3,3,5,5,Neutral,Neutral,5,5,5,5,5,5,5,5,6,6,5,6,6,6,5,6,6,6,6,5,5,Neutral,3,3,Neutral,Neutral,Neutral,5,6,5,Neutral,Neutral,5,5,5,3,Neutral,3,3,3,3,2,2,2,3,2,2,2,3,1,1,3,2,1,1,1,1,1,6,1,1,1,7,3,1,1,1,1,2,2,2,2,2,2,6,6,5,6,6,3,3,3,5,2,"MODERLÍNEA MUEBLES, S. L.","AV. BURJASSOT, 199",46015,"963 23 27 57","VALÈNCIA","VALÈNCIA","PILAR FERRER - GERENTE","MAGINA - MURCIA",NA,NA,-0.3943457,39.4930453
105,Comunitat Valenciana,Tienda independiente,Tienda independiente,Muebles y Madera,30,80,5,6,6,5,5,5,7,6,2,5,5,5,2,5,6,6,3,Neutral,6,5,5,Neutral,6,Neutral,3,3,3,3,3,5,5,5,Neutral,3,5,Neutral,Neutral,Neutral,Neutral,5,5,5,6,7,6,6,6,6,5,6,6,5,6,5,Neutral,Neutral,Neutral,3,Neutral,Neutral,3,5,5,3,3,3,3,3,Neutral,3,Neutral,Neutral,Neutral,Neutral,5,3,3,5,5,3,3,5,5,1,1,1,1,1,1,1,6,Neutral,7,1,1,1,7,3,1,1,1,2,3,3,Neutral,3,3,Neutral,6,6,5,5,6,Neutral,Neutral,Neutral,6,6,"MUEBLES CANDELA","DR. MANUEL CANDELA, 58",46021,"963 72 97 14","VALÈNCIA","VALÈNCIA","DAVID - ENCARGADO","ACTIU - CASTALLA",2e+05,1000,-0.3488006,39.4710026
106,Comunitat Valenciana,Tienda sucursalista,Tienda integrada,Muebles y Madera,20,8,20,7,7,6,5,7,7,7,5,5,7,7,5,5,6,6,6,6,6,7,7,5,7,5,5,5,5,5,5,5.991,6,6,7,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,7,7,7,7,7,7,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,Neutral,3,3,3,3,3,Neutral,5,6,2,6,5,6,Neutral,Neutral,7,7,1,7,1,1,Neutral,1,7,7,7,1,7,7,7,1,1,1,7,6,5,5,6,5,6,7,7,7,5,7,7,7,7,5,Neutral,"MUEBLES LA FÁBRICA","AV. DEL CID, 2",46048,"963 84 69 00","VALÈNCIA","VALÈNCIA","JOSÉ GÓMEZ - GERENTE","RIMOBEL - VINARÒS",1500000,30000,-0.3909308,39.4674899
107,Comunitat Valenciana,Tienda independiente,Tienda independiente,Muebles y Madera,12,20,8,7,7,6,7,6,6,7,7,Neutral,6,Neutral,Neutral,5,6,6,6,7,7,6,7,7,5,Neutral,7,6,5,6,5,6,5,Neutral,5,7,Neutral,7,7,5,5,5,5,5,6,Neutral,6,7,7,7,1,1,2,1,2,1,1,2,4.275,4.167,5,Neutral,4.472,3,1,3,1,2,3,Neutral,Neutral,5,3,3,Neutral,Neutral,1,2.929,1,Neutral,1,1,3.424,7,1,1,1,1,1,1,Neutral,3,2,1,5,7,7,1,5,1,1,5,1,3,3,3,2,1,1,1,7,7,7,7,7,7,6,6,6,5,"MUEBLES MAX DESCUENTO","ALCALDE JOSÉ PUERTES, S/N",46910,"963 96 09 29","ALFAFAR","VALÈNCIA","ENRIQUE LLUCH - DIRECTOR","NO CONSTA - CIUDAD REAL",NA,NA,-0.3811011,39.4161934
108,Comunitat Valenciana,Tienda independiente,Tienda independiente,Muebles y Madera,15,Proveedor exclusivo,0,5,5,Neutral,Neutral,5,7,6,2,5,5,5,2,6,6,6,5,6,6,Neutral,Neutral,5,5,Neutral,5,5,Neutral,5,5,6,6,6,Neutral,Neutral,6,7,7,7,7,2,2,2,6,6,6,6,6,6,2,1,3,1,2,2,2,2,2,1,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,3,2,2,3,3,1,1,2,2,1,1,1,1,1,1,1,1,1,6,6,1,2,7,6,1,1,1,5,1,1,1,1,1,1,6,5,5,5,6,5,5,5,6,3,"PUERTAS AGUILERA, S. L.","SANT ANTONI, 26",46980,"961 38 10 72","PATERNA","VALÈNCIA","MARÍA DEL MAR - ADMINISTRACIÓN","MADERAS LAGUNA - PATERNA",250000,NA,-0.441503,39.5034285
109,Comunitat Valenciana,Tienda independiente,Tienda independiente,Muebles y Madera,7,40,20,5,5,5,5,5,7,6,3,3,Neutral,5,3,Neutral,6,6,2,5,6,5,5,5,5,3,Neutral,5,3,3,3,5,Neutral,5,3,5,3,3,3,3,3,3,3,5,5,7,Neutral,5,6,6,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,Neutral,Neutral,Neutral,Neutral,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,6,2,1,1,1,2,2,2,2,2,2,2,3,3,Neutral,5,5,5,Neutral,Neutral,5,3,"MUEBLES BELLIPER, S. L.","PASEO ARAGÓN, 84",46120,"961 86 13 60","ALBORAIA","VALÈNCIA","JOSÉ LUIS PÉREZ AGUILAR - GERENTE","BATTISTELLA - ITALIA",50000,NA,-0.3480926,39.4956942
110,Comunitat Valenciana,Tienda sucursalista,Tienda integrada,Muebles y Madera,15,15,99,5,Neutral,Neutral,Neutral,5,7,6,5,5,5,5,5,6,6,5,Neutral,6,Neutral,5,5,5,5,3,Neutral,Neutral,3,3,3,5,5,5,Neutral,Neutral,5,2,2,3,Neutral,Neutral,Neutral,2,6,6,5,6,6,6,5,5,5,5,Neutral,Neutral,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,5,Neutral,3,3,3,3,5,5,3,3,3,3,3,3,Neutral,Neutral,Neutral,Neutral,3,3,3,3,2,1,5,5,1,1,5,5,6,6,6,1,3,7,5,1,1,1,2,3,3,3,Neutral,Neutral,Neutral,5,3,3,6,6,3,Neutral,Neutral,6,Neutral,"KIBUC ALBUFERA","PL. ALQUERIA CULLA, 17",46910,"963 76 23 82","ALFAFAR","VALÈNCIA","JOSÉ - GERENTE","KIBUC - BARCELONA",6e+05,NA,-0.379827,39.416843
111,Comunitat Valenciana,Tienda independiente,Tienda independiente,Muebles y Madera,12,65,4,6,5,5,5,6,6,6,5,5,6,6,5,5,6,6,3,5,6,5,5,5,5,Neutral,5,5,Neutral,Neutral,Neutral,5,5,5,5,5,5,6,6,6,6,5,5,5,6,6,6,6,6,6,5,5,5,5,5,5,Neutral,Neutral,Neutral,Neutral,3,3,3,5,5,Neutral,Neutral,Neutral,Neutral,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,3,Neutral,Neutral,Neutral,5,Neutral,Neutral,Neutral,Neutral,1,1,1,1,1,1,1,1,3,6,5,1,1,7,5,1,1,1,1,3,3,3,3,3,3,5,5,5,5,5,Neutral,3,3,5,3,"TOT EN FUSTA","AUSIÀS MARCH, 31",46100,"963 63 30 20","BURJASSOT","VALÈNCIA","CONCHA - JEFA ADMINISTRACIÓN","LAMIPLAST - VALÈNCIA",60000,NA,-0.4113335,39.5121632
112,Comunitat Valenciana,Tienda independiente,Tienda independiente,Muebles y Madera,30,10,50,5,5,Neutral,Neutral,6,7,6,5,6,6,5,5,5,6,5,Neutral,6,5,5,5,Neutral,5,2,2,2,2,2,2,5,5,Neutral,5,3,5,3,3,3,3,3,5,3,6,6,5,5,5,5,2,2,Neutral,2,3,Neutral,2,1,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3,3,1,1,1,1,1,1,1,1,1,5,1,1,1,7,6,1,1,1,5,2,2,2,2,2,2,6,6,7,6,5,3,5,5,6,2,"ARTESANO MOBILIARIO, S. L.","OLIVA, 8",46,"962 87 33 66","DAIMÚS","VALÈNCIA","NINA CATALÁN - ADMINISTRACIÓN","LAMIPLAST - VALÈNCIA",4e+05,2000,-0.1564843,38.9697594
113,Comunitat Valenciana,Tienda sucursalista,Tienda integrada,Muebles y Madera,5,90,30,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,6,5,5,5,5,Neutral,5,Neutral,Neutral,Neutral,Neutral,3,Neutral,Neutral,5,5,5,7,7,7,6.094,7,7,7,2,5,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.626,4.636,5,Neutral,5,5,6,Neutral,1,1,4.318,1,7,7,7,1,7,7,7,1,1,7,7,1,1,1,7,Neutral,5,Neutral,5,5,5,7,7,7,7,7,6,6,6,6,5,"MERKAMUEBLE GANDIA","GENERAL FRASQUET, 6",46701,"962 96 66 01","GANDIA","VALÈNCIA","LYDIA - RESPONSABLE TIENDA","NO CONSTA - VALÈNCIA",NA,NA,-0.1691784,38.9724727
114,Comunitat Valenciana,Tienda independiente,Tienda independiente,Muebles y Madera,40,60,20,6,6,6,7,7,7,7,7,7,7,7,7,6,7,7,5,7,7,6,6,6,7,5,7,7,6,7,6,6,7,7,7,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,Neutral,5,Neutral,5,5,5,5,5,Neutral,Neutral,Neutral,5,Neutral,Neutral,Neutral,Neutral,1,1,1,6,1,1,1,1,1,Neutral,1,1,1,7,3,1,1,1,6,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,6,6,6,5,7,6,5,5,6,Neutral,"MUEBLES EUGENIO PÉREZ, S. L.","SÈQUIA CALVERO, 25",46910,"963 76 46 60","SEDAVÍ","VALÈNCIA","ASCENSIÓN ALEGRE - ADMÓN.","EUGENIO PÉREZ (FÁBRICA) - SEDAVÍ",4e+05,2000,-0.3829931,39.4245468
115,Comunitat Valenciana,Tienda independiente,Tienda independiente,Muebles y Madera,30,20,10,7,7,7,7,7,7,7,7,6,6,7,6,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,6,5,5,5,6,5,6,6,6,6,6,6,6,6,6,6,6,Neutral,Neutral,Neutral,3,2,3,3,2,3,3,2,3,5,3,4.817,3,5,6,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,Neutral,1,1,7,1,1,Neutral,1,1,3,3,3,3,2,6,7,7,7,6,7,6,6,7,7,6,"COCINA FÁCIL","SERRA D'IRTA, 11",12006,"964 24 68 80","CASTELLÓ PLANA","CASTELLÓ","MILENA - ENCARGADA","PUMOLSACA, S. L. - VALÈNCIA",2e+05,NA,-0.0433177,39.9902042
116,Comunitat Valenciana,Tienda independiente,Tienda independiente,Muebles y Madera,25,20,99,Neutral,Neutral,3,3,5,7,Neutral,5,5,5,5,Neutral,Neutral,5,6,4.976,5,Neutral,5,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,Neutral,5,5,5,Neutral,5,6,5,6,5,5,5,5,5,5,5,Neutral,5,5,7,7,7,7,7,7,6,6,6,6,6,6,6,6,7,6,6,6,7,5,5,5,5,5,5,5,3,2,2,2,2,3,3,3,5,1,1,1,1,1,1,1,1,7,5,7,1,1,7,7,3,1,1,1,3,3,3,Neutral,Neutral,5,7,7,7,7,7,7,Neutral,7,7,5,"JEAN GOBERT CEZANNE","AV. HERMANOS BOU, 14",12003,"964 22 93 71","CASTELLÓ PLANA","CASTELLÓ","EVA - GERENTE","VALENTI - BARCELONA",NA,6000,-0.0328933,39.9833688
117,Comunitat Valenciana,Tienda franquiciada,Tienda integrada,Muebles y Madera,20,10,99,6,6,6,7,6,5,7,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,7,7,6,7,6,6,6,6,6,6,5,6,7,6,7,7,7,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,5,5,6,6,6,6,7,6,6,7,6,6,6,6,6,1,1,7,7,7,7,5,1,1,7,7,1,1,7,7,1,7,1,7,6,6,6,6,5,6,7,7,7,7,7,6,6,6,7,7,"LA OCA","POETA QUINTANA, 3-5",46003,"963 84 69 00","VALÈNCIA","VALÈNCIA","MARTA NAVARRO - RESP. TIENDA","WMF - ALEMANIA",NA,NA,-0.3705865,39.4709696
